date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:16	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264e503a0-128c%22	https://setosa.io/robots.txt		(from )
16:10:16	10720/10720	---M-Z	200	added ('OK')	text/html	etag:W/%2264e503a0-29e0%22	https://setosa.io/ev/image-kernels/	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/image-kernels/index.html	(from )
16:10:17	326647/326647	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e503a0-4fbf7%22	https://setosa.io/ev/scripts/d3.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/scripts/d3.js	(from https://setosa.io/ev/image-kernels/)
16:10:17	11182/11182	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e503a0-2bae%22	https://setosa.io/ev/scripts/common.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/scripts/common.js	(from https://setosa.io/ev/image-kernels/)
16:10:17	774884/774884	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e503a0-bd2e4%22	https://setosa.io/ev/scripts/angular.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/scripts/angular.js	(from https://setosa.io/ev/image-kernels/)
16:10:17	5417/5417	---M-Z	200	added ('OK')	text/css	etag:W/%2264e503a0-1529%22	https://setosa.io/ev/styles/style.css	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/styles/style.css	(from https://setosa.io/ev/image-kernels/)
16:10:18	202/202	---M--	200	added ('OK')	text/css	etag:%2264e503a0-ca%22	https://setosa.io/ev/image-kernels//style.css	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/image-kernels/style.css	(from https://setosa.io/ev/image-kernels/)
16:10:19	30212/30212	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e503a0-7604%22	https://setosa.io/ev/scripts/exif.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/scripts/exif.js	(from https://setosa.io/ev/image-kernels/)
16:10:21	23803/23803	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e503a0-5cfb%22	https://setosa.io/ev/image-kernels/script.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/image-kernels/script.js	(from https://setosa.io/ev/image-kernels/)
16:10:21	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/www.google-analytics.com/analytics.js	(from https://setosa.io/ev/image-kernels/)
16:10:21	19569/19569	---M--	200	added ('OK')	image/png	etag:%2264e503a0-4c71%22	https://setosa.io/ev//img/setosa.png	C:/Users/ahmed/OneDrive/Desktop/ING2/Base/image101/setosa.io/ev/img/setosa.png	(from https://setosa.io/ev/styles/style.css)
